Name,Position,TypeName,Kind,IsNullable,NumericPrecisionBase,NumericPrecision,NumericScale,DateTimePrecision,MaxLength,IsVariableLength,NativeTypeName,NativeDefaultExpression,NativeExpression,Description,IsWritable
"Year",0,"Int32.Type","number",True,10,10,0,,,,"INT","","","",
"id",1,"Int64.Type","number",True,10,19,0,,,,"BIGINT","","","",
"listing_url",2,"Text.Type","text",True,,,,,65536,True,"STRING","","","",
"scrape_id",3,"Int64.Type","number",True,10,19,0,,,,"BIGINT","","","",
"last_scraped",4,"Date.Type","date",True,,,,,,,"","","","",
"name",5,"Text.Type","text",True,,,,,65536,True,"STRING","","","",
"description",6,"Text.Type","text",True,,,,,65536,True,"STRING","","","",
"neighborhood_overview",7,"Text.Type","text",True,,,,,65536,True,"STRING","","","",
"picture_url",8,"Text.Type","text",True,,,,,65536,True,"STRING","","","",
"host_id",9,"Int64.Type","number",True,10,19,0,,,,"BIGINT","","","",
"host_url",10,"Text.Type","text",True,,,,,65536,True,"STRING","","","",
"host_name",11,"Text.Type","text",True,,,,,65536,True,"STRING","","","",
"host_since",12,"Date.Type","date",True,,,,,,,"","","","",
"host_location",13,"Text.Type","text",True,,,,,65536,True,"STRING","","","",
"host_about",14,"Text.Type","text",True,,,,,65536,True,"STRING","","","",
"host_response_time",15,"Text.Type","text",True,,,,,65536,True,"STRING","","","",
"host_response_rate",16,"Text.Type","text",True,,,,,65536,True,"STRING","","","",
"host_acceptance_rate",17,"Text.Type","text",True,,,,,65536,True,"STRING","","","",
"host_is_superhost",18,"Text.Type","text",True,,,,,65536,True,"STRING","","","",
"host_thumbnail_url",19,"Text.Type","text",True,,,,,65536,True,"STRING","","","",
"host_picture_url",20,"Text.Type","text",True,,,,,65536,True,"STRING","","","",
"host_neighbourhood",21,"Text.Type","text",True,,,,,65536,True,"STRING","","","",
"host_listings_count",22,"Double.Type","number",True,2,53,,,,,"DOUBLE","","","",
"host_total_listings_count",23,"Double.Type","number",True,2,53,,,,,"DOUBLE","","","",
"host_verifications",24,"Text.Type","text",True,,,,,65536,True,"STRING","","","",
"host_has_profile_pic",25,"Text.Type","text",True,,,,,65536,True,"STRING","","","",
"host_identity_verified",26,"Text.Type","text",True,,,,,65536,True,"STRING","","","",
"neighbourhood",27,"Text.Type","text",True,,,,,65536,True,"STRING","","","",
"neighbourhood_cleansed",28,"Text.Type","text",True,,,,,65536,True,"STRING","","","",
"neighbourhood_group_cleansed",29,"Double.Type","number",True,2,53,,,,,"DOUBLE","","","",
"latitude",30,"Double.Type","number",True,2,53,,,,,"DOUBLE","","","",
"longitude",31,"Double.Type","number",True,2,53,,,,,"DOUBLE","","","",
"property_type",32,"Text.Type","text",True,,,,,65536,True,"STRING","","","",
"room_type",33,"Text.Type","text",True,,,,,65536,True,"STRING","","","",
"accommodates",34,"Int64.Type","number",True,10,19,0,,,,"BIGINT","","","",
"bathrooms",35,"Double.Type","number",True,2,53,,,,,"DOUBLE","","","",
"bedrooms",36,"Double.Type","number",True,2,53,,,,,"DOUBLE","","","",
"beds",37,"Double.Type","number",True,2,53,,,,,"DOUBLE","","","",
"amenities",38,"Text.Type","text",True,,,,,65536,True,"STRING","","","",
"price",39,"Currency.Type","number",True,,,,,,,"","","","",
"minimum_nights",40,"Int64.Type","number",True,10,19,0,,,,"BIGINT","","","",
"maximum_nights",41,"Int64.Type","number",True,10,19,0,,,,"BIGINT","","","",
"minimum_minimum_nights",42,"Int64.Type","number",True,10,19,0,,,,"BIGINT","","","",
"maximum_minimum_nights",43,"Int64.Type","number",True,10,19,0,,,,"BIGINT","","","",
"minimum_maximum_nights",44,"Int64.Type","number",True,10,19,0,,,,"BIGINT","","","",
"maximum_maximum_nights",45,"Int64.Type","number",True,10,19,0,,,,"BIGINT","","","",
"minimum_nights_avg_ntm",46,"Double.Type","number",True,2,53,,,,,"DOUBLE","","","",
"maximum_nights_avg_ntm",47,"Double.Type","number",True,2,53,,,,,"DOUBLE","","","",
"calendar_updated",48,"Text.Type","text",True,,,,,65536,True,"STRING","","","",
"has_availability",49,"Text.Type","text",True,,,,,65536,True,"STRING","","","",
"availability_30",50,"Int64.Type","number",True,10,19,0,,,,"BIGINT","","","",
"availability_60",51,"Int64.Type","number",True,10,19,0,,,,"BIGINT","","","",
"availability_90",52,"Int64.Type","number",True,10,19,0,,,,"BIGINT","","","",
"availability_365",53,"Int64.Type","number",True,10,19,0,,,,"BIGINT","","","",
"calendar_last_scraped",54,"Date.Type","date",True,,,,,,,"","","","",
"number_of_reviews",55,"Int64.Type","number",True,10,19,0,,,,"BIGINT","","","",
"number_of_reviews_ltm",56,"Int64.Type","number",True,10,19,0,,,,"BIGINT","","","",
"first_review",57,"Date.Type","date",True,,,,,,,"","","","",
"last_review",58,"Date.Type","date",True,,,,,,,"","","","",
"review_scores_rating",59,"Double.Type","number",True,2,53,,,,,"DOUBLE","","","",
"review_scores_accuracy",60,"Double.Type","number",True,2,53,,,,,"DOUBLE","","","",
"review_scores_cleanliness",61,"Double.Type","number",True,2,53,,,,,"DOUBLE","","","",
"review_scores_checkin",62,"Double.Type","number",True,2,53,,,,,"DOUBLE","","","",
"review_scores_communication",63,"Double.Type","number",True,2,53,,,,,"DOUBLE","","","",
"review_scores_location",64,"Double.Type","number",True,2,53,,,,,"DOUBLE","","","",
"review_scores_value",65,"Double.Type","number",True,2,53,,,,,"DOUBLE","","","",
"license",66,"Text.Type","text",True,,,,,65536,True,"STRING","","","",
"instant_bookable",67,"Text.Type","text",True,,,,,65536,True,"STRING","","","",
"calculated_host_listings_count",68,"Int64.Type","number",True,10,19,0,,,,"BIGINT","","","",
"calculated_host_listings_count_entire_homes",69,"Int64.Type","number",True,10,19,0,,,,"BIGINT","","","",
"calculated_host_listings_count_private_rooms",70,"Int64.Type","number",True,10,19,0,,,,"BIGINT","","","",
"calculated_host_listings_count_shared_rooms",71,"Int64.Type","number",True,10,19,0,,,,"BIGINT","","","",
"reviews_per_month",72,"Double.Type","number",True,2,53,,,,,"DOUBLE","","","",
