Column,Min,Max,Average,StandardDeviation,Count,NullCount,DistinctCount
"Year","2020","2021","2020.516393",0.49973378300977311,97025,"0","2"
"accommodates","0","16","3.109487246",2.046836553473014,97025,"0","17"
"amenities","[""1. Sonos 2. Bryston/Harbeth 3. Rotel/Totem sound system with Bluetooth and aux"", ""TV"", ""Carbon monoxide alarm"", ""First aid kit"", ""Record player"", ""Extra pillows and blankets"", ""Air conditioning"", ""Bathtub"", ""Fire extinguisher"", ""Iron"", ""Wifi \u2013 500 Mbps"", ""Smoke alarm"", ""Hot water"", ""Hair dryer"", ""Shampoo"", ""Dishes and silverware"", ""Paid parking off premises"", ""Conditioner"", ""Ethernet connection"", ""Hangers"", ""Dedicated workspace"", ""Patio or balcony"", ""Barbecue utensils"", ""Liebherr fridge refrigerator"", ""Heating"", ""Washer"", ""Cleaning before checkout"", ""Bed linens"", ""Coffee maker"", ""EV charger"", ""Body soap"", ""Dishwasher"", ""Garden or backyard"", ""Kitchen"", ""Shower gel"", ""Long term stays allowed"", ""Dryer"", ""Private entrance"", ""BBQ grill"", ""Indoor fireplace"", ""Laundromat nearby"", ""Wolfe gas range stainless steel oven"", ""Essentials"", ""Free residential garage on premises \u2013 1 space"", ""Baking sheet"", ""Cooking basics""]","{}","",,97025,"0","75487"
"availability_30","0","30","11.61232672",12.65285827351765,97025,"0","31"
"availability_365","0","365","127.6376604",134.12100633170945,97025,"0","366"
"availability_60","0","60","26.18618913",25.550563885454032,97025,"0","61"
"availability_90","0","90","41.66563257",38.401969905010631,97025,"0","91"
"bathrooms","0","8.5","1.252201258",0.55707494318756445,97025,"50120","18"
"bedrooms","0","16","1.372260031",0.84054814774095277,97025,"3867","16"
"beds","0","17","1.64969484",1.1149283093055848,97025,"846","19"
"calculated_host_listings_count","1","127","5.102282917",11.244558996621864,97025,"0","61"
"calculated_host_listings_count_entire_homes","0","115","3.25769647",9.9734030655725334,97025,"0","54"
"calculated_host_listings_count_private_rooms","0","43","1.538716826",3.8557200945191457,97025,"0","33"
"calculated_host_listings_count_shared_rooms","0","61","0.259531049",3.0688016527103112,97025,"0","16"
"calendar_last_scraped","2020-01-07","2021-02-11","2020-07-28",,97025,"0","15"
"calendar_updated","1 week ago","yesterday","",,97025,"50103","91"
"description","	Newly renovated 2 bedroom basement apartment. 	Family-friendly rental in the heart of Scarborough 	25 Minutes to Downtown Toronto 	10 Minutes away from Scarborough Town Center 	Minutes away from the Go train station that takes you 20 min to Downtown Toronto  	Minutes from the Bluffs  	Bus stop 3 minutes walk  	Free parking for two vehicles 	Minutes away from Toronto Zoo 	Nearest intersection: Markham and Sheppard 	Highway 401 east 3KM from the house This is a newly renovated 2 bedroom basement apartment with all amenities. Both bedrooms have queen bed, laptop friendly workspace, and storage. The main living area has a double/queen-sized pull out sofa bed.  Complimentary coffee and tea. Full bathroom with shower and bath.  Guests have access to the entire apartment using key lock and we also offer two parking in our driveway for two vehicle. We are available by email anytime, and by cell, and will typically be present in the main living space. Minutes from the Bluffs Minutes away from","￫ Ideal for families, couples or a group of friends travelling together ️￫ Two-bedroom detached Bungalow has a double bed, a twin bed and a queen sofa bed. ￫ Sleeps up to 5 people ￫ Well maintained private garden ￫ Fully equipped kitchen ️￫ 2-min drive from Warden Subway Station ￫ Minutes from Beaches ￫ Fresh linen, towels, toiletries & essentials provided ￫ Professionally cleaned every time ￫ FREE unlimited high-speed WiFi and TV ￫ FREE Tea, Instant Coffee and Sugar. ￫ Close to Major Amenities. It contains everything you will need for your stay, including a 4 burner stove, an oven, microwave, refrigerator, freezer, dishwasher, washing machine and dryer, crockery and cutlery for up to 6 guests. My cleaners place fresh, hotel-quality linen and towels on your beds prior to arrival. - Baggage drop off may be possible, please message us before booking. - No more than five people at any time. - No guests allowed Included:  + Unlimited high-speed Wifi Network. + HD TV + Gas Central Heating +","",,97025,"3168","42685"
"first_review","2009-08-20","2021-02-08","2018-04-14",,97025,"20021","2646"
"has_availability","f","t","",,97025,"0","2"
"host_about","","表姨","",,97025,"42299","9676"
"host_acceptance_rate","0%","99%","",,97025,"44469","98"
"host_has_profile_pic","f","t","",,97025,"138","3"
"host_id","1565","387345757","108783554.4",104073346.41120827,97025,"0","17735"
"host_identity_verified","f","t","",,97025,"138","3"
"host_is_superhost","f","t","",,97025,"138","3"
"host_listings_count","0","340","6.18460681",17.820209177061326,97025,"138","89"
"host_location","AE","Сейчас я в России. ( сдаю комнату на время своего отсутствия)","",,97025,"188","484"
"host_name","(Email hidden by Airbnb)","현진","",,97025,"138","7245"
"host_neighbourhood","6th Arrondissement","داماك هيلز","",,97025,"17424","228"
"host_picture_url","https://a0.muscache.com/defaults/user_pic-225x225.png?v=3","https://z1.muscache.cn/im/pictures/user/3a8b3544-411f-4c7e-97a9-5c3e2b4f95ea.jpg?aki_policy=profile_x_medium","",,97025,"138","18401"
"host_response_rate","0%","99%","",,97025,"35438","88"
"host_response_time","a few days or more","within an hour","",,97025,"35438","5"
"host_since","2008-08-08","2021-02-05","2016-04-29",,97025,"138","3508"
"host_thumbnail_url","https://a0.muscache.com/defaults/user_pic-50x50.png?v=3","https://z1.muscache.cn/im/pictures/user/3a8b3544-411f-4c7e-97a9-5c3e2b4f95ea.jpg?aki_policy=profile_small","",,97025,"138","18401"
"host_total_listings_count","0","340","6.18460681",17.820209177061326,97025,"138","89"
"host_url","https://www.airbnb.com/users/show/10001608","https://www.airbnb.com/users/show/99963393","",,97025,"0","17735"
"host_verifications","None","[]","",,97025,"0","402"
"id","1419","48082311","26628483.08",12774587.803324163,97025,"0","30065"
"instant_bookable","f","t","",,97025,"0","2"
"last_review","2010-08-11","2021-02-10","2019-09-11",,97025,"20021","1832"
"last_scraped","2020-01-07","2021-02-11","2020-07-28",,97025,"0","15"
"latitude","43.58671","43.83706","43.68120099",0.04874507374354576,97025,"0","13620"
"license","2.50112116E8","str-2101-gxmbhh","",,97025,"89001","2676"
"listing_url","https://www.airbnb.com/rooms/10002202","https://www.airbnb.com/rooms/9997841","",,97025,"0","30065"
"longitude","-79.62712","-79.12485","-79.39723071",0.064030891063185741,97025,"0","18256"
"maximum_maximum_nights","1","2147483647","716307.7372",38431268.171758033,97025,"0","247"
"maximum_minimum_nights","1","1125","16.02058232",36.809481267854586,97025,"0","131"
"maximum_nights","1","2147483647","96464.24986",12107317.021114096,97025,"0","277"
"maximum_nights_avg_ntm","1","2147483647","606809.6265",35200591.518318377,97025,"0","558"
"minimum_maximum_nights","1","2147483647","561370.6608",33829581.345248111,97025,"0","247"
"minimum_minimum_nights","1","1125","14.56188611",34.706947063381179,97025,"0","120"
"minimum_nights","1","1125","14.83068281",35.051620794382032,97025,"0","121"
"minimum_nights_avg_ntm","1","1125","15.21381912",35.2369293282273,97025,"0","694"
"name","   NEW -Two bedroom basement , next to bus stop","️❤️️Toronto  Lake view Liberty Village Super Condo","",,97025,"5","31950"
